timestampstring,0,1,2,3
2013-01-01,,2104.0579999999864,,
2013-01-02,,2086.206499999964,,
2013-01-03,,,2232.2355000000493,
2013-01-04,,,2271.1949999999633,
2013-01-05,,2167.4897500000225,,
2013-01-06,,2169.3282500000023,,
2013-01-07,,,,2405.28125
2013-01-08,,,2358.770250000044,
2013-01-09,,,,2405.810249999966
2013-01-10,,,,2435.449500000035
2013-01-11,,,,2405.55475
2013-01-12,2080.0237499999785,,,
2013-01-13,,2137.706750000023,,
2013-01-14,,,,2393.4452500000007
2013-01-15,,,,2368.829999999998
2013-01-16,,,,2386.084499999979
2013-01-17,,,,2361.9742500000216
2013-01-18,,,2326.533499999977,
2013-01-19,,2147.7999999999884,,
2013-01-20,,2137.023500000003,,
2013-01-21,,,,2372.8277500000236
2013-01-22,,,,2367.5784999999787
2013-01-23,,,2321.948499999988,
2013-01-24,,,,2407.885500000011
2013-01-25,,,2346.3487499999865,
2013-01-26,,2143.641000000036,,
2013-01-27,,2138.784749999966,,
2013-01-28,,,2332.6860000000347,
2013-01-29,,,,2399.6699999999987
2013-01-30,,,,2367.750750000014
2013-01-31,,,2308.146499999999,
2013-02-01,,,,2382.653749999965
2013-02-02,,2137.282250000011,,
2013-02-03,,2155.246000000003,,
2013-02-04,,,,2390.0562500000233
2013-02-05,,,,2385.3714999999756
2013-02-06,,,,2393.150000000024
2013-02-07,,,,2375.8499999999785
2013-02-08,,,2358.9000000000224,
2013-02-09,,2177.807749999989,,
2013-02-10,,2159.2637499999983,,
2013-02-11,,,2341.125000000001,
2013-02-12,,,2332.1749999999893,
2013-02-13,,,2339.749999999999,
2013-02-14,,,2339.225000000006,
2013-02-15,,,2331.149999999994,
2013-02-16,,2143.720249999995,,
2013-02-17,,2143.515249999993,,
2013-02-18,,,2286.4577500000123,
2013-02-19,,,2325.771499999999,
2013-02-20,,,,2397.6379999999895
2013-02-21,,,,2385.1120000000124
2013-02-22,,,2338.79024999999,
2013-02-23,,2165.2945000000223,,
2013-02-24,,2173.3839999999873,,
2013-02-25,,,2306.633999999992,
2013-02-26,,,,2373.413750000021
2013-02-27,,,,2424.134999999977
2013-02-28,,,2356.977000000018,
2013-03-01,,,2333.617750000006,
2013-03-02,,2174.4034999999894,,
2013-03-03,2103.757000000016,,,
2013-03-04,,,2292.6097500000064,
2013-03-05,,,2287.5139999999774,
2013-03-06,,,2275.8630000000235,
2013-03-07,,,2264.1214999999747,
2013-03-08,,2211.470250000024,,
2013-03-09,2068.3145000000004,,,
2013-03-10,2026.0147499999875,,,
2013-03-11,,,2315.766000000008,
2013-03-12,,,2287.835249999989,
2013-03-13,,,2341.8655000000035,
2013-03-14,,,2294.138750000002,
2013-03-15,,,2293.967250000005,
2013-03-16,2079.8744999999944,,,
2013-03-17,,2124.021499999999,,
2013-03-18,,,2321.021500000003,
2013-03-19,,,2261.949249999998,
2013-03-20,,,2297.5195000000026,
2013-03-21,,,2280.1102500000097,
2013-03-22,,2215.554500000002,,
2013-03-23,,2107.471999999987,,
2013-03-24,,2124.8979999999883,,
2013-03-25,,,2327.370000000014,
2013-03-26,,,2337.609249999998,
2013-03-27,,,2304.9324999999844,
2013-03-28,,,2326.470250000024,
2013-03-29,,2102.615249999999,,
2013-03-30,,2103.2254999999823,,
2013-03-31,,,,
2013-04-01,2020.1859999999992,,,
2013-04-02,,,2261.964750000003,
2013-04-03,,,2292.5617499999867,
2013-04-04,,,2280.2255000000114,
2013-04-05,,,2331.2827499999953,
2013-04-06,,2149.768249999983,,
2013-04-07,,2146.4105000000054,,
2013-04-08,,,2311.403250000015,
2013-04-09,,,2306.1625000000063,
2013-04-10,,,2292.4359999999765,
2013-04-11,,,2338.382000000016,
2013-04-12,,,2279.994500000009,
2013-04-13,2080.8967499999744,,,
2013-04-14,2030.5527500000026,,,
2013-04-15,,2137.524000000005,,
2013-04-16,,,2255.9174999999923,
2013-04-17,,2224.308500000003,,
2013-04-18,,,2273.2012499999987,
2013-04-19,,,,2396.7862500000197
2013-04-20,,2168.289249999998,,
2013-04-21,,2148.3632499999985,,
2013-04-22,,,2336.4152499999914,
2013-04-23,,,2291.59375,
2013-04-24,,,2246.759249999992,
2013-04-25,,,2250.38401575002,
2013-04-26,,,2277.507421749993,
2013-04-27,,2150.8125,,
2013-04-28,2098.1925782499893,,,
2013-04-29,,,2328.658202999999,
2013-04-30,,,2363.1917970000063,
2013-05-01,2089.779296749999,,,
2013-05-02,,,2280.732031249994,
2013-05-03,,,2338.5292970000014,
2013-05-04,,2151.664453000005,,
2013-05-05,2079.7101562500175,,,
2013-05-06,,,2260.8542969999835,
2013-05-07,,,2247.2027342499932,
2013-05-08,,2207.055859500019,,
2013-05-09,2087.1847654999874,,,
2013-05-10,,,2252.6964845000184,
2013-05-11,,2109.7257812499884,,
2013-05-12,2078.299218750006,,,
2013-05-13,,,2272.5789062499825,
2013-05-14,,2239.666015499999,,
2013-05-15,,,2267.7558595000005,
2013-05-16,,,2329.936718750017,
2013-05-17,,,2321.2953125000063,
2013-05-18,2056.8851562499767,,,
2013-05-19,2053.0660155000223,,,
2013-05-20,2046.3289062499828,,,
2013-05-21,,,2347.829687499994,
2013-05-22,,,2361.8820312500175,
2013-05-23,,,2345.857422000001,
2013-05-24,,,2331.855077999994,
2013-05-25,,2149.6335937500116,,
2013-05-26,,2135.7902344999893,,
2013-05-27,,,2243.763671749999,
2013-05-28,,,2285.859375,
2013-05-29,,,2313.8363282500068,
2013-05-30,,,2318.3785154999932,
2013-05-31,,,2371.8355469999947,
2013-06-01,,2176.633203000005,,
2013-06-02,,2110.9949220000126,,
2013-06-03,,,2277.173437499995,
2013-06-04,,,2272.8500000000054,
2013-06-05,,2220.0113279999932,,
2013-06-06,,2200.334375000006,,
2013-06-07,,2185.9886719999777,,
2013-06-08,2006.533202999999,,,
2013-06-09,2072.9441407500126,,,
2013-06-10,,,2308.7531249999884,
2013-06-11,,,2276.94140625,
2013-06-12,,2216.516015500005,,
2013-06-13,,2207.4992187500175,,
2013-06-14,,,2295.1812499999946,
2013-06-15,2050.3054687499825,,,
2013-06-16,2005.736718750035,,,
2013-06-17,,2126.412109499972,,
2013-06-18,,2112.3738280000107,,
2013-06-19,,2151.8683594999893,,
2013-06-20,,,2222.6511717499825,
2013-06-21,,,2254.2203125000233,
2013-06-22,2075.787890749998,,,
2013-06-23,,2144.804296750008,,
2013-06-24,,,2301.599609500001,
2013-06-25,,,2298.826562500006,
2013-06-26,,2225.141796749987,,
2013-06-27,,,2324.9980470000005,
2013-06-28,,,2262.7156250000116,
2013-06-29,,2147.967968749988,,
2013-06-30,2066.177343749994,,,
2013-07-01,,2179.05859375,,
2013-07-02,,2196.795312500006,,
2013-07-03,,,,2419.0003905000094
2013-07-04,,,2310.7925782499965,
2013-07-05,,,2233.234765500005,
2013-07-06,2013.4152344999893,,,
2013-07-07,1991.5789062500116,,,
2013-07-08,,2111.294531249994,,
2013-07-09,,2179.163281250003,,
2013-07-10,,2179.7972654999903,,
2013-07-11,,2192.212500000009,,
2013-07-12,,2200.9906249999913,,
2013-07-13,2010.0132812499942,,,
2013-07-14,1960.1585937500058,,,
2013-07-15,,2153.36171875,,
2013-07-16,,2156.4800782500242,,
2013-07-17,,2174.7886717499932,,
2013-07-18,,2174.0867187499825,,
2013-07-19,,2115.203125,,
2013-07-20,1976.9347657500186,,,
