timestampstring,0,1,2,3
2013-01-01,1268.625,,,
2013-01-02,1264.625,,,
2013-01-03,1270.75,,,
2013-01-04,1278.75,,,
2013-01-05,,1293.75,,
2013-01-06,1287.0,,,
2013-01-07,,1296.375,,
2013-01-08,,1310.25,,
2013-01-09,,1315.625,,
2013-01-10,,1318.0,,
2013-01-11,,1293.875,,
2013-01-12,1235.375,,,
2013-01-13,1230.375,,,
2013-01-14,1251.25,,,
2013-01-15,1266.75,,,
2013-01-16,1266.0,,,
2013-01-17,1260.0,,,
2013-01-18,1251.75,,,
2013-01-19,1245.375,,,
2013-01-20,1244.0,,,
2013-01-21,1263.625,,,
2013-01-22,1267.125,,,
2013-01-23,1275.375,,,
2013-01-24,1274.0,,,
2013-01-25,1274.625,,,
2013-01-26,1268.125,,,
2013-01-27,1268.125,,,
2013-01-28,1268.0,,,
2013-01-29,1284.125,,,
2013-01-30,1287.5,,,
2013-01-31,1284.875,,,
2013-02-01,1284.0,,,
2013-02-02,1273.0,,,
2013-02-03,1268.625,,,
2013-02-04,1277.0,,,
2013-02-05,1282.0,,,
2013-02-06,1279.0,,,
2013-02-07,1290.75,,,
2013-02-08,,1300.0,,
2013-02-09,,1297.875,,
2013-02-10,1280.5,,,
2013-02-11,1268.375,,,
2013-02-12,1249.375,,,
2013-02-13,1260.0,,,
2013-02-14,1284.625,,,
2013-02-15,1287.0,,,
2013-02-16,1277.75,,,
2013-02-17,1271.875,,,
2013-02-18,1270.75,,,
2013-02-19,1274.5,,,
2013-02-20,,1294.625,,
2013-02-21,,1301.75,,
2013-02-22,1285.125,,,
2013-02-23,1286.125,,,
2013-02-24,1277.5,,,
2013-02-25,1269.0,,,
2013-02-26,,1306.125,,
2013-02-27,,1306.375,,
2013-02-28,,1293.5,,
2013-03-01,1286.75,,,
2013-03-02,1288.75,,,
2013-03-03,1280.875,,,
2013-03-04,1284.375,,,
2013-03-05,1287.25,,,
2013-03-06,1287.125,,,
2013-03-07,1272.25,,,
2013-03-08,1230.0,,,
2013-03-09,1268.125,,,
2013-03-10,1210.25,,,
2013-03-11,1256.75,,,
2013-03-12,1262.625,,,
2013-03-13,1263.625,,,
2013-03-14,1282.25,,,
2013-03-15,1281.75,,,
2013-03-16,1276.25,,,
2013-03-17,1269.75,,,
2013-03-18,1273.25,,,
2013-03-19,1274.375,,,
2013-03-20,1282.375,,,
2013-03-21,,1292.0,,
2013-03-22,1280.625,,,
2013-03-23,1271.625,,,
2013-03-24,1267.0,,,
2013-03-25,1268.75,,,
2013-03-26,1281.625,,,
2013-03-27,1286.0,,,
2013-03-28,,1296.125,,
2013-03-29,1287.0,,,
2013-03-30,1276.875,,,
2013-03-31,,,,
2013-04-01,1268.875,,,
2013-04-02,1277.75,,,
2013-04-03,,1299.375,,
2013-04-04,,1309.25,,
2013-04-05,,1318.75,,
2013-04-06,,,1329.0,
2013-04-07,,1310.5,,
2013-04-08,,1304.75,,
2013-04-09,,1301.0,,
2013-04-10,,1315.625,,
2013-04-11,,1317.75,,
2013-04-12,,1312.25,,
2013-04-13,,1313.125,,
2013-04-14,,1301.0,,
2013-04-15,,1309.5,,
2013-04-16,,1317.75,,
2013-04-17,,,1329.25,
2013-04-18,,,1335.375,
2013-04-19,,,1341.0,
2013-04-20,,1322.75,,
2013-04-21,,1309.375,,
2013-04-22,,1312.0,,
2013-04-23,,1319.625,,
2013-04-24,,1324.25,,
2013-04-25,,,1339.75,
2013-04-26,,1322.5,,
2013-04-27,,1300.625,,
2013-04-28,,1305.125,,
2013-04-29,,1317.6875,,
2013-04-30,,,1324.75,
2013-05-01,,1313.625,,
2013-05-02,,1319.8125,,
2013-05-03,,,1329.8125,
2013-05-04,,,1329.1875,
2013-05-05,,1315.4375,,
2013-05-06,,1320.875,,
2013-05-07,,1310.6875,,
2013-05-08,,1300.9375,,
2013-05-09,1289.1875,,,
2013-05-10,,1294.375,,
2013-05-11,,1297.5,,
2013-05-12,1290.6875,,,
2013-05-13,,1297.0625,,
2013-05-14,,1305.25,,
2013-05-15,,1299.9375,,
2013-05-16,,1313.75,,
2013-05-17,,1321.625,,
2013-05-18,,1315.375,,
2013-05-19,,1302.1875,,
2013-05-20,,1300.625,,
2013-05-21,,1322.375,,
2013-05-22,,,1332.125,
2013-05-23,,,1340.1875,
2013-05-24,,,1337.5625,
2013-05-25,,,1338.4375,
2013-05-26,,,1325.8125,
2013-05-27,,1315.875,,
2013-05-28,,1317.9375,,
2013-05-29,,1317.5000000000002,,
2013-05-30,,,1327.125,
2013-05-31,,,1323.8125,
2013-06-01,,1317.875,,
2013-06-02,,1311.125,,
2013-06-03,,1323.375,,
2013-06-04,,,1330.5625,
2013-06-05,,,1327.6875,
2013-06-06,,1324.75,,
2013-06-07,,1317.5625,,
2013-06-08,,1317.375,,
2013-06-09,,1313.25,,
2013-06-10,,1310.0,,
2013-06-11,,1305.5,,
2013-06-12,,1321.0625,,
2013-06-13,,,1331.1875,
2013-06-14,,,1337.5,
2013-06-15,,,1336.125,
2013-06-16,,1319.625,,
2013-06-17,,1318.6875,,
2013-06-18,,1317.9375,,
2013-06-19,,1322.5,,
2013-06-20,,,1324.0625000051223,
2013-06-21,,1319.6875,,
2013-06-22,,1311.5,,
2013-06-23,,1300.625,,
2013-06-24,,1313.4375,,
2013-06-25,,1317.6875,,
2013-06-26,,1310.1875,,
2013-06-27,,1321.3125,,
2013-06-28,,1321.0625,,
2013-06-29,,1317.6875,,
2013-06-30,,1315.0,,
2013-07-01,,1311.5,,
2013-07-02,,,1326.375,
2013-07-03,,,1341.75,
2013-07-04,,,1336.5,
2013-07-05,,,1329.6875,
2013-07-06,,1322.4375,,
2013-07-07,,1313.1875,,
2013-07-08,,1304.5625,,
2013-07-09,,,1325.8125,
2013-07-10,,,1331.125,
2013-07-11,,,1332.3125,
2013-07-12,,,1340.5625,
2013-07-13,,,1332.4375,
2013-07-14,,1310.875,,
2013-07-15,1290.1874999960419,,,
2013-07-16,,,1327.375,
2013-07-17,,1317.9375,,
2013-07-18,,,1334.1875,
2013-07-19,,1311.875,,
2013-07-20,,1313.625,,
2013-07-21,,1317.125,,
2013-07-22,,,1329.625,
2013-07-23,,,1330.25,
2013-07-24,,,1334.8125,
2013-07-25,,,1337.25,
2013-07-26,,,1341.875,
2013-07-27,,,1339.1875,
2013-07-28,,,1328.8125,
2013-07-29,,1318.3125,,
2013-07-30,,1317.0,,
2013-07-31,,1315.375,,
2013-08-01,,1307.6875,,
2013-08-02,,1310.125,,
2013-08-03,,,1328.5625,
2013-08-04,,1321.0,,
2013-08-05,,1313.0625,,
2013-08-06,,,1333.0625,
2013-08-07,,,1342.0,
2013-08-08,,,1349.375,
2013-08-09,,,,1352.625
2013-08-10,,,1348.9375,
2013-08-11,,,1330.125,
2013-08-12,,,1331.375,
2013-08-13,,,1340.25,
2013-08-14,,,1334.5,
2013-08-15,,,1347.375,
2013-08-16,,,1336.6875,
2013-08-17,,,1328.6875,
2013-08-18,,,1325.875,
2013-08-19,,,1337.1875,
2013-08-20,,,1347.0625,
2013-08-21,,,1346.625,
2013-08-22,,,,1354.6875
2013-08-23,,,,1360.0
2013-08-24,,,,1353.5625
2013-08-25,,,1340.4375,
2013-08-26,,,1340.8125,
2013-08-27,,,1351.375,
2013-08-28,,,,1357.3125
2013-08-29,,,,1361.25
2013-08-30,,,1345.5625,
2013-08-31,,,1333.0,
2013-09-01,,1323.5,,
2013-09-02,,,1327.0,
2013-09-03,,,1337.375,
2013-09-04,,,1338.3125,
2013-09-05,,,1331.0,
2013-09-06,,,1338.8125,
2013-09-07,,,1338.1875,
2013-09-08,,,1325.5,
2013-09-09,,,1328.625,
2013-09-10,,,1338.25,
2013-09-11,,,1343.3125,
2013-09-12,,,1336.25,
2013-09-13,,,1325.375,
2013-09-14,,1313.0,,
2013-09-15,,1305.875,,
2013-09-16,,1319.9375,,
2013-09-17,,,1334.1875,
2013-09-18,,,,1351.3125
2013-09-19,,,,1353.3125
2013-09-20,,,,1357.1875
2013-09-21,,,1338.875,
2013-09-22,,1321.5,,
2013-09-23,,,1328.75,
2013-09-24,,,1345.6875,
2013-09-25,,,1348.5,
2013-09-26,,,1342.5625,
2013-09-27,,,1335.5,
2013-09-28,,1323.8125,,
2013-09-29,,1317.0,,
2013-09-30,,,1339.625,
2013-10-01,,,1346.3125,
