timestampstring,0,1,2,3
2013-01-01,480.0,,,
2013-01-02,480.0,,,
2013-01-03,480.0,,,
2013-01-04,480.0,,,
2013-01-05,480.0,,,
2013-01-06,480.0,,,
2013-01-07,480.0,,,
2013-01-08,480.0,,,
2013-01-09,480.0,,,
2013-01-10,480.0,,,
2013-01-11,480.0,,,
2013-01-12,480.0,,,
2013-01-13,480.0,,,
2013-01-14,480.0,,,
2013-01-15,,726.0,,
2013-01-16,,,,924.0
2013-01-17,,,900.0,
2013-01-18,,,863.0,
2013-01-19,,530.0,,
2013-01-20,458.0,,,
2013-01-21,,,,923.0
2013-01-22,,,,937.0
2013-01-23,,,866.0,
2013-01-24,,,871.0,
2013-01-25,,,870.0,
2013-01-26,,561.0,,
2013-01-27,471.0,,,
2013-01-28,,,,949.0
2013-01-29,,,,954.0
2013-01-30,,,,955.0
2013-01-31,,,,934.0
2013-02-01,,,915.0,
2013-02-02,,573.0,,
2013-02-03,477.0,,,
2013-02-04,,,,923.0
2013-02-05,,,,949.0
2013-02-06,,,,958.0
2013-02-07,,,,945.0
2013-02-08,,,,900.0
2013-02-09,,518.0,,
2013-02-10,412.0,,,
2013-02-11,,,855.0,
2013-02-12,,,879.0,
2013-02-13,,,916.0,
2013-02-14,,,,916.0
2013-02-15,,,910.0,
2013-02-16,,562.0,,
2013-02-17,469.0,,,
2013-02-18,,,,949.0
2013-02-19,,,,956.0
2013-02-20,,,,951.0
2013-02-21,,,,930.0
2013-02-22,,,,928.0
2013-02-23,,550.0,,
2013-02-24,452.0,,,
2013-02-25,,,,948.0
2013-02-26,,,,964.0
2013-02-27,,,,992.0
2013-02-28,,,,970.0
2013-03-01,,,,919.0
2013-03-02,,561.0,,
2013-03-03,447.0,,,
2013-03-04,,,,923.0
2013-03-05,,,,953.0
2013-03-06,,,,957.0
2013-03-07,,,,940.0
2013-03-08,,,,931.0
2013-03-09,,555.0,,
2013-03-10,449.0,,,
2013-03-11,,,,941.5
2013-03-12,,,,960.0
2013-03-13,,,,959.0
2013-03-14,,,,933.0
2013-03-15,,,914.0,
2013-03-16,,551.0,,
2013-03-17,457.0,,,
2013-03-18,,,,963.0
2013-03-19,,,,959.0
2013-03-20,,,,960.0
2013-03-21,,,,945.0
2013-03-22,,,910.0,
2013-03-23,,548.0,,
2013-03-24,436.0,,,
2013-03-25,,,,930.0
2013-03-26,,,,946.0
2013-03-27,,,,953.0
2013-03-28,,,887.0,
2013-03-29,428.0,,,
2013-03-30,,532.0,,
2013-03-31,,,,
2013-04-01,423.0,,,
2013-04-02,,,911.0,
2013-04-03,,,912.0,
2013-04-04,,,903.0,
2013-04-05,,,901.0,
2013-04-06,,556.0,,
2013-04-07,460.0,,,
2013-04-08,,,,950.0
2013-04-09,,,,964.0
2013-04-10,,,,964.0
2013-04-11,,,,961.0
2013-04-12,,,,929.0
2013-04-13,,551.0,,
2013-04-14,430.0,,,
2013-04-15,,,846.0,
2013-04-16,,,,930.0
2013-04-17,,,,936.0
2013-04-18,,,,931.0
2013-04-19,,,,952.0
2013-04-20,,552.0,,
2013-04-21,456.0,,,
2013-04-22,,,,961.0
2013-04-23,,,,982.0
2013-04-24,,,,954.0
2013-04-25,,,,934.0
2013-04-26,,,911.0,
2013-04-27,,571.0,,
2013-04-28,446.0,,,
2013-04-29,,,,962.0
2013-04-30,,,,973.0
2013-05-01,442.0,,,
2013-05-02,,,,925.0
2013-05-03,,,,965.0
2013-05-04,,585.0,,
2013-05-05,493.0,,,
2013-05-06,,,,953.0
2013-05-07,,,929.0,
2013-05-08,,,900.0,
2013-05-09,423.0,,,
2013-05-10,,,883.0,
2013-05-11,,571.0,,
2013-05-12,443.0,,,
2013-05-13,,,,956.0
2013-05-14,,,,969.0
2013-05-15,,,,952.0
2013-05-16,,,,979.0
2013-05-17,,,,954.0
2013-05-18,,568.0,,
2013-05-19,449.0,,,
2013-05-20,448.0,,,
2013-05-21,,,,988.0
2013-05-22,,,,955.0
2013-05-23,,,,950.0
2013-05-24,,,,949.0
2013-05-25,,599.0,,
2013-05-26,485.0,,,
2013-05-27,,,,981.0
2013-05-28,,,,978.0
2013-05-29,,,,1004.0
2013-05-30,,,,961.0
2013-05-31,,,,967.0
2013-06-01,,577.0,,
2013-06-02,468.0,,,
2013-06-03,,,896.0,
2013-06-04,,,914.0,
2013-06-05,,,908.0,
2013-06-06,,,897.0,
2013-06-07,,,887.0,
2013-06-08,,518.0,,
2013-06-09,435.0,,,
2013-06-10,,,904.0,
2013-06-11,,,894.0,
2013-06-12,,,896.0,
2013-06-13,,,873.0,
2013-06-14,,,878.0,
2013-06-15,,535.0,,
2013-06-16,448.0,,,
2013-06-17,,,890.0,
2013-06-18,,,,932.0
2013-06-19,,,928.0,
2013-06-20,,,912.0,
2013-06-21,,,864.0,
2013-06-22,,528.0,,
2013-06-23,443.0,,,
2013-06-24,,,893.0,
2013-06-25,,,890.0,
2013-06-26,,,866.0,
2013-06-27,,,882.0,
2013-06-28,,,880.0,
2013-06-29,,555.0,,
2013-06-30,450.0,,,
2013-07-01,,,890.0,
2013-07-02,,,858.0,
2013-07-03,,,,911.0
2013-07-04,,,882.0,
2013-07-05,,,853.0,
2013-07-06,,523.0,,
2013-07-07,431.0,,,
2013-07-08,,,871.0,
2013-07-09,,,882.0,
2013-07-10,,,881.0,
2013-07-11,,,891.0,
2013-07-12,,,879.0,
2013-07-13,,519.0,,
2013-07-14,428.0,,,
2013-07-15,,,898.0,
2013-07-16,,,903.0,
2013-07-17,,,918.0,
2013-07-18,,,908.0,
2013-07-19,,,887.0,
2013-07-20,,546.0,,
2013-07-21,443.0,,,
2013-07-22,,,911.0,
2013-07-23,,,902.0,
2013-07-24,,,910.0,
2013-07-25,,,903.0,
2013-07-26,,,888.0,
2013-07-27,,552.0,,
2013-07-28,436.0,,,
2013-07-29,,,895.0,
2013-07-30,,,887.0,
2013-07-31,,,847.0,
2013-08-01,419.0,,,
2013-08-02,,,803.0,
2013-08-03,,550.0,,
2013-08-04,434.0,,,
2013-08-05,,,898.0,
2013-08-06,,,921.0,
2013-08-07,,,904.0,
2013-08-08,,,904.0,
2013-08-09,,,895.0,
2013-08-10,,559.0,,
2013-08-11,431.0,,,
2013-08-12,,,902.0,
2013-08-13,,,889.0,
2013-08-14,,,902.0,
2013-08-15,,,898.0,
2013-08-16,,,878.0,
2013-08-17,,551.0,,
2013-08-18,446.0,,,
2013-08-19,,,911.0,
2013-08-20,,,894.0,
2013-08-21,,,899.0,
2013-08-22,,,912.0,
2013-08-23,,,889.0,
2013-08-24,,550.0,,
2013-08-25,453.0,,,
2013-08-26,,,876.0,
2013-08-27,,,878.0,
2013-08-28,,,884.0,
2013-08-29,,,878.0,
2013-08-30,,,866.0,
2013-08-31,,532.0,,
2013-09-01,448.0,,,
2013-09-02,,,879.0,
2013-09-03,,,881.0,
2013-09-04,,,882.0,
2013-09-05,,,873.0,
2013-09-06,,,852.0,
2013-09-07,,531.0,,
2013-09-08,435.0,,,
2013-09-09,,,838.0,
2013-09-10,,,901.0,
2013-09-11,,,877.0,
2013-09-12,,,876.0,
2013-09-13,,,859.0,
2013-09-14,,524.0,,
2013-09-15,451.0,,,
2013-09-16,,,,930.0
2013-09-17,,,927.0,
2013-09-18,,,,938.0
2013-09-19,,,,918.0
2013-09-20,,,,925.0
2013-09-21,,557.0,,
2013-09-22,441.0,,,
2013-09-23,,,,937.0
2013-09-24,,,,921.0
2013-09-25,,,,920.0
2013-09-26,,,897.0,
2013-09-27,,,890.0,
2013-09-28,,546.0,,
2013-09-29,448.0,,,
2013-09-30,,,,939.0
2013-10-01,,,,931.0
2013-10-02,,,,936.0
2013-10-03,,,,934.0
2013-10-04,,,,940.0
2013-10-05,,566.0,,
2013-10-06,443.0,,,
2013-10-07,,,,942.0
2013-10-08,,,,936.0
2013-10-09,,,,926.5
2013-10-10,,,,935.0
2013-10-11,,,918.0,
2013-10-12,,566.0,,
2013-10-13,480.0,,,
2013-10-14,,,,961.0
2013-10-15,,,,966.0
2013-10-16,,,,956.0
2013-10-17,,,,956.0
2013-10-18,,,912.0,
2013-10-19,,560.0,,
2013-10-20,448.0,,,
2013-10-21,,,,917.0
2013-10-22,,,,947.0
2013-10-23,,,,940.0
2013-10-24,,,918.0,
2013-10-25,,,912.0,
2013-10-26,,536.0,,
2013-10-27,480.0,,,
2013-10-28,,,,934.0
2013-10-29,,,,959.0
2013-10-30,,,,961.0
2013-10-31,,,,961.0
2013-11-01,,,,928.0
2013-11-02,,542.0,,
2013-11-03,441.0,,,
2013-11-04,,,,942.0
2013-11-05,,,,945.0
2013-11-06,,,,958.0
2013-11-07,,,,924.0
2013-11-08,,,,917.0
2013-11-09,,543.0,,
2013-11-10,436.0,,,
2013-11-11,,,,936.0
2013-11-12,,,,945.0
2013-11-13,,,,950.0
2013-11-14,,,,946.0
2013-11-15,,,,924.0
2013-11-16,,540.0,,
2013-11-17,446.0,,,
2013-11-18,,,,944.0
2013-11-19,,,,971.0
2013-11-20,,,,955.0
2013-11-21,,,,942.0
2013-11-22,,,,950.0
2013-11-23,,543.0,,
2013-11-24,441.0,,,
2013-11-25,,,,955.0
2013-11-26,,,,942.0
2013-11-27,,,,944.0
2013-11-28,,,,972.0
2013-11-29,,,,957.0
2013-11-30,,584.0,,
2013-12-01,462.0,,,
2013-12-02,,,,942.0
2013-12-03,,,,967.0
2013-12-04,,,,955.0
2013-12-05,,,,966.0
2013-12-06,,,,947.0
2013-12-07,,563.0,,
2013-12-08,449.0,,,
2013-12-09,,,,946.0
2013-12-10,,,,958.0
2013-12-11,,,,962.0
2013-12-12,,,,958.0
2013-12-13,,,,948.0
2013-12-14,,582.0,,
2013-12-15,452.0,,,
2013-12-16,,,,958.0
2013-12-17,,,,963.0
2013-12-18,,,,947.0
2013-12-19,,,,927.0
2013-12-20,,,,924.0
2013-12-21,,540.0,,
2013-12-22,448.0,,,
2013-12-23,,693.0,,
2013-12-24,,598.0,,
2013-12-25,403.0,,,
2013-12-26,405.0,,,
2013-12-27,450.0,,,
2013-12-28,431.0,,,
2013-12-29,400.0,,,
2013-12-30,440.0,,,
2013-12-31,440.0,,,
