timestampstring,0,1,2,3
2013-01-01,0.0,,,
2013-01-02,0.0,,,
2013-01-03,0.0,,,
2013-01-04,0.0,,,
2013-01-05,0.0,,,
2013-01-06,0.0,,,
2013-01-07,0.0,,,
2013-01-08,0.0,,,
2013-01-09,0.0,,,
2013-01-10,0.0,,,
2013-01-11,0.0,,,
2013-01-12,0.0,,,
2013-01-13,0.0,,,
2013-01-14,0.0,,,
2013-01-15,,,,
2013-01-16,,,,1467.0
2013-01-17,,,,1544.0
2013-01-18,,,,1662.0
2013-01-19,,,,1256.0
2013-01-20,,,1174.0,
2013-01-21,,,,1334.0
2013-01-22,,,,1269.0
2013-01-23,,,,1280.0
2013-01-24,,,,1315.0
2013-01-25,,,,1438.0
2013-01-26,,,1179.0,
2013-01-27,,,1045.0,
2013-01-28,,,,1188.0
2013-01-29,,,1116.0,
2013-01-30,,,789.0,
2013-01-31,,,899.0,
2013-02-01,,,925.0,
2013-02-02,,,915.0,
2013-02-03,,,1069.0,
2013-02-04,,,,1239.0
2013-02-05,,,1077.0,
2013-02-06,,,,1284.0
2013-02-07,,,,1331.0
2013-02-08,,,,1354.0
2013-02-09,,,1129.0,
2013-02-10,,,1205.0,
2013-02-11,,,,1519.0
2013-02-12,,,,1580.0
2013-02-13,,,,1583.0
2013-02-14,,,,1574.0
2013-02-15,,,,1289.0
2013-02-16,,,1025.0,
2013-02-17,,,1066.0,
2013-02-18,,,,1276.0
2013-02-19,,,,1226.0
2013-02-20,,,,1330.0
2013-02-21,,,,1508.0
2013-02-22,,,,1633.0
2013-02-23,,,,1294.0
2013-02-24,,,,1253.0
2013-02-25,,,,1552.0
2013-02-26,,,,1491.0
2013-02-27,,,,1348.0
2013-02-28,,,,1304.0
2013-03-01,,,,1330.0
2013-03-02,,,1117.0,
2013-03-03,,,1063.0,
2013-03-04,,,,1303.0
2013-03-05,,,1110.0,
2013-03-06,,,879.0,
2013-03-07,,598.0,,
2013-03-08,,737.0,,
2013-03-09,,517.0,,
2013-03-10,,590.0,,
2013-03-11,,,839.0,
2013-03-12,,,914.0,
2013-03-13,,,,1201.0
2013-03-14,,,,1422.0
2013-03-15,,,,1389.0
2013-03-16,,,1027.0,
2013-03-17,,,918.0,
2013-03-18,,,1085.0,
2013-03-19,,,977.0,
2013-03-20,,,962.0,
2013-03-21,,,945.0,
2013-03-22,,,867.0,
2013-03-23,,,844.0,
2013-03-24,,,958.0,
2013-03-25,,,,1274.0
2013-03-26,,,,1383.0
2013-03-27,,,,1336.0
2013-03-28,,,,1251.0
2013-03-29,,,943.0,
2013-03-30,,,969.0,
2013-03-31,,,,
2013-04-01,,,953.0,
2013-04-02,,,,1196.0
2013-04-03,,,,1151.0
2013-04-04,,,1072.0,
2013-04-05,,,,1167.0
2013-04-06,,,872.0,
2013-04-07,,,895.0,
2013-04-08,,,1042.0,
2013-04-09,,,893.0,
2013-04-10,,604.0,,
2013-04-11,,584.0,,
2013-04-12,,660.0,,
2013-04-13,,455.0,,
2013-04-14,,320.0,,
2013-04-15,99.0,,,
2013-04-16,104.0,,,
2013-04-17,101.0,,,
2013-04-18,90.0,,,
2013-04-19,256.0,,,
2013-04-20,,,836.0,
2013-04-21,,647.0,,
2013-04-22,,654.0,,
2013-04-23,,440.0,,
2013-04-24,,360.0,,
2013-04-25,109.0,,,
2013-04-26,90.0,,,
2013-04-27,100.0,,,
2013-04-28,,495.0,,
2013-04-29,,615.0,,
2013-04-30,,539.0,,
2013-05-01,,280.0,,
2013-05-02,92.0,,,
2013-05-03,144.0,,,
2013-05-04,83.0,,,
2013-05-05,69.0,,,
2013-05-06,122.0,,,
2013-05-07,116.0,,,
2013-05-08,95.0,,,
2013-05-09,54.0,,,
2013-05-10,129.0,,,
2013-05-11,86.0,,,
2013-05-12,75.0,,,
2013-05-13,158.0,,,
2013-05-14,110.0,,,
2013-05-15,100.0,,,
2013-05-16,126.0,,,
2013-05-17,176.0,,,
2013-05-18,69.0,,,
2013-05-19,62.0,,,
2013-05-20,67.0,,,
2013-05-21,189.0,,,
2013-05-22,213.0,,,
2013-05-23,,713.0,,
2013-05-24,,,1000.0,
2013-05-25,,,783.0,
2013-05-26,,580.0,,
2013-05-27,,448.0,,
2013-05-28,,390.5,,
2013-05-29,,576.9999999999998,,
2013-05-30,,470.0,,
2013-05-31,,,722.0,
2013-06-01,,586.0,,
2013-06-02,,353.0,,
2013-06-03,254.0,,,
2013-06-04,,537.0,,
2013-06-05,103.0,,,
2013-06-06,77.0,,,
2013-06-07,78.0,,,
2013-06-08,47.0,,,
2013-06-09,38.0,,,
2013-06-10,86.0,,,
2013-06-11,86.0,,,
2013-06-12,77.0,,,
2013-06-13,66.0,,,
2013-06-14,76.0,,,
2013-06-15,45.0,,,
2013-06-16,40.0,,,
2013-06-17,50.0,,,
2013-06-18,50.0,,,
2013-06-19,41.0,,,
2013-06-20,47.0,,,
2013-06-21,52.0,,,
2013-06-22,41.0,,,
2013-06-23,38.0,,,
2013-06-24,71.0,,,
2013-06-25,105.0,,,
2013-06-26,104.0,,,
2013-06-27,116.0,,,
2013-06-28,91.0,,,
2013-06-29,63.0,,,
2013-06-30,50.0,,,
2013-07-01,76.0,,,
2013-07-02,51.0,,,
2013-07-03,80.0,,,
2013-07-04,60.0,,,
2013-07-05,54.0,,,
2013-07-06,45.0,,,
2013-07-07,39.0,,,
2013-07-08,33.0,,,
2013-07-09,47.0,,,
2013-07-10,41.0,,,
2013-07-11,41.0,,,
2013-07-12,50.0,,,
2013-07-13,35.0,,,
2013-07-14,35.0,,,
2013-07-15,32.0,,,
2013-07-16,44.0,,,
2013-07-17,46.0,,,
2013-07-18,48.0,,,
2013-07-19,35.0,,,
2013-07-20,41.0,,,
2013-07-21,31.0,,,
2013-07-22,27.0,,,
2013-07-23,35.0,,,
2013-07-24,32.0,,,
2013-07-25,36.0,,,
2013-07-26,38.0,,,
2013-07-27,28.0,,,
2013-07-28,22.0,,,
2013-07-29,30.0,,,
2013-07-30,46.0,,,
2013-07-31,36.0,,,
2013-08-01,26.0,,,
2013-08-02,43.0,,,
2013-08-03,31.0,,,
2013-08-04,30.0,,,
2013-08-05,28.0,,,
2013-08-06,34.0,,,
2013-08-07,36.0,,,
2013-08-08,43.0,,,
2013-08-09,46.0,,,
2013-08-10,38.0,,,
2013-08-11,28.0,,,
2013-08-12,40.0,,,
2013-08-13,38.0,,,
2013-08-14,54.0,,,
2013-08-15,52.0,,,
2013-08-16,50.0,,,
2013-08-17,37.0,,,
2013-08-18,32.0,,,
2013-08-19,34.0,,,
2013-08-20,49.0,,,
2013-08-21,67.0,,,
2013-08-22,50.0,,,
2013-08-23,54.0,,,
2013-08-24,38.0,,,
2013-08-25,40.0,,,
2013-08-26,61.0,,,
2013-08-27,91.0,,,
2013-08-28,86.0,,,
2013-08-29,78.0,,,
2013-08-30,77.0,,,
2013-08-31,48.0,,,
2013-09-01,40.0,,,
2013-09-02,76.0,,,
2013-09-03,70.0,,,
2013-09-04,65.0,,,
2013-09-05,54.0,,,
2013-09-06,49.0,,,
2013-09-07,36.0,,,
2013-09-08,35.0,,,
2013-09-09,67.0,,,
2013-09-10,78.0,,,
2013-09-11,117.0,,,
2013-09-12,140.0,,,
2013-09-13,115.0,,,
2013-09-14,60.0,,,
2013-09-15,57.0,,,
2013-09-16,130.0,,,
2013-09-17,189.0,,,
2013-09-18,125.0,,,
2013-09-19,144.0,,,
2013-09-20,124.0,,,
2013-09-21,70.0,,,
2013-09-22,65.0,,,
2013-09-23,136.0,,,
2013-09-24,150.0,,,
2013-09-25,111.0,,,
2013-09-26,101.0,,,
2013-09-27,105.0,,,
2013-09-28,75.0,,,
2013-09-29,79.0,,,
2013-09-30,180.5,,,
2013-10-01,167.0,,,
2013-10-02,212.0,,,
2013-10-03,,,800.0,
2013-10-04,,415.0,,
2013-10-05,84.0,,,
2013-10-06,84.0,,,
2013-10-07,185.0,,,
2013-10-08,165.0,,,
2013-10-09,153.5,,,
2013-10-10,,,604.0,
2013-10-11,,,939.0,
2013-10-12,,,744.0,
2013-10-13,,582.0,,
2013-10-14,,491.0,,
2013-10-15,,396.0,,
2013-10-16,,447.0,,
2013-10-17,228.0,,,
2013-10-18,,554.0,,
2013-10-19,,429.0,,
2013-10-20,109.0,,,
2013-10-21,156.0,,,
2013-10-22,141.0,,,
2013-10-23,130.0,,,
2013-10-24,166.0,,,
2013-10-25,205.0,,,
2013-10-26,137.5,,,
2013-10-27,114.0,,,
2013-10-28,,,,
2013-10-29,241.2679245288016,,,
2013-10-30,,463.9584905661176,,
2013-10-31,,,985.0,
2013-11-01,,,873.0,
2013-11-02,,407.0,,
2013-11-03,,626.0,,
2013-11-04,,,787.0,
2013-11-05,,,819.0,
2013-11-06,,580.0,,
2013-11-07,,420.0,,
2013-11-08,,391.0,,
2013-11-09,,557.0,,
2013-11-10,,,763.0,
2013-11-11,,,1035.0,
2013-11-12,,,,1163.0
2013-11-13,,,,1169.0
2013-11-14,,,1053.0,
2013-11-15,,,,1159.0
2013-11-16,,,903.0,
2013-11-17,,,859.0,
2013-11-18,,,1068.0,
2013-11-19,,,1090.0,
2013-11-20,,,1121.0,
2013-11-21,,,,1213.0
2013-11-22,,,,1217.0
2013-11-23,,,951.0,
2013-11-24,,,933.0,
2013-11-25,,,,1303.0
2013-11-26,,,,1426.0
2013-11-27,,,,1512.0
2013-11-28,,,,1546.0
2013-11-29,,,,1304.0
2013-11-30,,,1048.0,
2013-12-01,,,1056.0,
2013-12-02,,,,1253.0
2013-12-03,,,,1407.0
2013-12-04,,,,1304.0
2013-12-05,,,,1235.0
2013-12-06,,,,1190.0
2013-12-07,,,981.0,
2013-12-08,,,1040.0,
2013-12-09,,,,1285.0
2013-12-10,,,,1268.0
2013-12-11,,,,1465.0
2013-12-12,,,,1367.0
2013-12-13,,,,1443.0
2013-12-14,,,1096.0,
2013-12-15,,,1046.0,
2013-12-16,,,,1388.0
2013-12-17,,,,1347.0
2013-12-18,,,,1289.0
2013-12-19,,,,1164.0
2013-12-20,,,1120.0,
2013-12-21,,,985.0,
2013-12-22,,,856.0,
2013-12-23,,,851.0,
2013-12-24,,,926.0,
2013-12-25,,,784.0,
2013-12-26,,,913.0,
2013-12-27,,,917.0,
2013-12-28,,,893.0,
2013-12-29,,,882.0,
2013-12-30,,,982.0,
2013-12-31,,,1027.0,
