timestampstring,0,1,2,3
2013-01-01,1010.25,,,
2013-01-02,1033.75,,,
2013-01-03,1161.0,,,
2013-01-04,1152.25,,,
2013-01-05,1057.0,,,
2013-01-06,1041.75,,,
2013-01-07,,1341.25,,
2013-01-08,,1476.75,,
2013-01-09,,,1540.0,
2013-01-10,,,1559.25,
2013-01-11,,,1539.75,
2013-01-12,1238.25,,,
2013-01-13,1176.75,,,
2013-01-14,,1471.25,,
2013-01-15,,1476.25,,
2013-01-16,,1474.5,,
2013-01-17,,1443.25,,
2013-01-18,,1431.0,,
2013-01-19,1245.75,,,
2013-01-20,1226.75,,,
2013-01-21,,1496.5,,
2013-01-22,,1499.75,,
2013-01-23,,,1547.0,
2013-01-24,,,1601.25,
2013-01-25,,,1526.25,
2013-01-26,1298.5,,,
2013-01-27,1242.5,,,
2013-01-28,,,1644.25,
2013-01-29,,,,1806.0
2013-01-30,,,,1745.0
2013-01-31,,,,1719.75
2013-02-01,,,1610.25,
2013-02-02,1343.5,,,
2013-02-03,1259.0,,,
2013-02-04,,1497.25,,
2013-02-05,,,1603.5,
2013-02-06,,,,1791.25
2013-02-07,,,,1782.0
2013-02-08,,,,1712.75
2013-02-09,,1424.0,,
2013-02-10,1189.0,,,
2013-02-11,,1500.25,,
2013-02-12,,1508.25,,
2013-02-13,,1492.0,,
2013-02-14,,1474.0,,
2013-02-15,,1425.25,,
2013-02-16,1213.5,,,
2013-02-17,1217.25,,,
2013-02-18,,1446.75,,
2013-02-19,,,1531.25,
2013-02-20,,,,1777.5
2013-02-21,,,1659.75,
2013-02-22,,,1533.75,
2013-02-23,1233.75,,,
2013-02-24,1220.0,,,
2013-02-25,,1465.5,,
2013-02-26,,,1578.25,
2013-02-27,,,,1734.5
2013-02-28,,,,1781.75
2013-03-01,,,,1702.25
2013-03-02,,1409.75,,
2013-03-03,,1412.5,,
2013-03-04,,,,1804.75
2013-03-05,,,,1952.25
2013-03-06,,,,1994.25
2013-03-07,,,1586.0,
2013-03-08,,1456.25,,
2013-03-09,1222.0,,,
2013-03-10,1202.75,,,
2013-03-11,,,1567.5,
2013-03-12,,1477.0,,
2013-03-13,,1391.75,,
2013-03-14,,1429.0,,
2013-03-15,,1389.0,,
2013-03-16,1200.5,,,
2013-03-17,1210.0,,,
2013-03-18,,1495.75,,
2013-03-19,,1440.25,,
2013-03-20,,,1607.75,
2013-03-21,,,,1787.0
2013-03-22,,,,1688.5
2013-03-23,1196.0,,,
2013-03-24,1193.25,,,
2013-03-25,,,1513.5,
2013-03-26,,,1566.25,
2013-03-27,,,1516.25,
2013-03-28,,1420.25,,
2013-03-29,1189.25,,,
2013-03-30,1161.5,,,
2013-03-31,,,,
2013-04-01,1167.75,,,
2013-04-02,,,1550.0,
2013-04-03,,,,1724.0
2013-04-04,,,,1763.0
2013-04-05,,,1618.5,
2013-04-06,1214.5,,,
2013-04-07,1185.5,,,
2013-04-08,,1445.75,,
2013-04-09,,,1678.0,
2013-04-10,,,,1707.0
2013-04-11,,,1574.75,
2013-04-12,,1485.0,,
2013-04-13,1217.25,,,
2013-04-14,1194.75,,,
2013-04-15,,,1519.75,
2013-04-16,,,1584.0,
2013-04-17,,1506.0,,
2013-04-18,,,1516.0,
2013-04-19,,,1546.5,
2013-04-20,1225.25,,,
2013-04-21,1194.25,,,
2013-04-22,,1475.0,,
2013-04-23,,,1531.75,
2013-04-24,,1487.75,,
2013-04-25,,1460.5,,
2013-04-26,,1426.2500000000002,,
2013-04-27,1246.25,,,
2013-04-28,1246.5,,,
2013-04-29,,1489.6250000000002,,
2013-04-30,,1467.2500000000005,,
2013-05-01,1311.5,,,
2013-05-02,,,1519.8749999999998,
2013-05-03,,1484.5,,
2013-05-04,1204.0,,,
2013-05-05,1186.375,,,
2013-05-06,,1496.625,,
2013-05-07,,,,1736.0000000000002
2013-05-08,,,,1681.7500000000002
2013-05-09,1275.25,,,
2013-05-10,,,1655.6250000000005,
2013-05-11,,1486.875,,
2013-05-12,,1391.5,,
2013-05-13,,1468.9999999999998,,
2013-05-14,,,1677.0,
2013-05-15,,,1626.75,
2013-05-16,,1428.5,,
2013-05-17,,1452.7499999999998,,
2013-05-18,1179.0,,,
2013-05-19,1157.25,,,
2013-05-20,1209.25,,,
2013-05-21,,1434.75,,
2013-05-22,,1470.3750000000002,,
2013-05-23,,1431.75,,
2013-05-24,,1429.375,,
2013-05-25,1214.5,,,
2013-05-26,1182.75,,,
2013-05-27,,,1565.625,
2013-05-28,,,,1761.3750000000005
2013-05-29,,,,1914.750000000001
2013-05-30,,,,1907.7499999999998
2013-05-31,,,,1751.6249999999995
2013-06-01,1213.75,,,
2013-06-02,1205.0,,,
2013-06-03,,,1693.125,
2013-06-04,,,,1921.5
2013-06-05,,,,1904.9999999999998
2013-06-06,,,,1924.9999999999995
2013-06-07,,,,1750.000000000001
2013-06-08,1151.25,,,
2013-06-09,1176.5,,,
2013-06-10,,,1531.75,
2013-06-11,,,1656.1249999999995,
2013-06-12,,,1678.375,
2013-06-13,,,1639.7500000000005,
2013-06-14,,1426.8750000000002,,
2013-06-15,1129.375,,,
2013-06-16,1115.625000001234,,,
