timestampstring,0,1,2,3
2013-01-01,,,715.75,
2013-01-02,,,765.5,
2013-01-03,,,817.0,
2013-01-04,,,662.75,
2013-01-05,,593.0,,
2013-01-06,,,619.0,
2013-01-07,,571.25,,
2013-01-08,,,776.0,
2013-01-09,,,823.25,
2013-01-10,,,926.75,
2013-01-11,,,950.25,
2013-01-12,,,922.5,
2013-01-13,,,841.5,
2013-01-14,,,844.0,
2013-01-15,,,,1040.75
2013-01-16,,,,1077.25
2013-01-17,,,,1127.25
2013-01-18,,,,1143.25
2013-01-19,,,,1127.75
2013-01-20,,,,1081.75
2013-01-21,,,889.75,
2013-01-22,,,,1010.0
2013-01-23,,,,1057.0
2013-01-24,,,,1055.0
2013-01-25,,,,1078.25
2013-01-26,,,,1111.5
2013-01-27,,,,980.375
2013-01-28,,,792.375,
2013-01-29,,,824.5,
2013-01-30,,524.25,,
2013-01-31,,582.25,,
2013-02-01,,,647.25,
2013-02-02,,,927.5,
2013-02-03,,,,1146.5
2013-02-04,,,,997.75
2013-02-05,,,,985.75
2013-02-06,,,,1178.75
2013-02-07,,,,1190.25
2013-02-08,,,,1183.25
2013-02-09,,,,1152.0
2013-02-10,,,,1221.75
2013-02-11,,,,1056.5
2013-02-12,,,,1253.25
2013-02-13,,,,1026.0
2013-02-14,,,972.25,
2013-02-15,,,859.0,
2013-02-16,,,849.75,
2013-02-17,,,854.25,
2013-02-18,,,760.5,
2013-02-19,,,872.5,
2013-02-20,,,892.25,
2013-02-21,,,879.5,
2013-02-22,,,909.0,
2013-02-23,,,945.0,
2013-02-24,,,945.25,
2013-02-25,,,886.5,
2013-02-26,,,914.75,
2013-02-27,,,843.75,
2013-02-28,,,800.75,
2013-03-01,,,797.25,
2013-03-02,,,830.0,
2013-03-03,,,827.75,
2013-03-04,,,732.0,
2013-03-05,,,715.75,
2013-03-06,,603.25,,
2013-03-07,,503.0,,
2013-03-08,,531.75,,
2013-03-09,,459.75,,
2013-03-10,,504.5,,
2013-03-11,,512.0,,
2013-03-12,,,629.75,
2013-03-13,,,763.25,
2013-03-14,,,851.5,
2013-03-15,,,899.0,
2013-03-16,,,779.75,
2013-03-17,,,768.5,
2013-03-18,,,664.75,
2013-03-19,,,696.75,
2013-03-20,,,742.25,
2013-03-21,,,780.25,
2013-03-22,,,657.0,
2013-03-23,,,757.75,
2013-03-24,,,861.5,
2013-03-25,,,887.5,
2013-03-26,,,948.75,
2013-03-27,,,782.5,
2013-03-28,,,807.75,
2013-03-29,,,924.25,
2013-03-30,,,943.5,
2013-03-31,,,,
2013-04-01,,,813.75,
2013-04-02,,,892.0,
2013-04-03,,,863.0,
2013-04-04,,,797.25,
2013-04-05,,,799.5,
2013-04-06,,,699.5,
2013-04-07,,,769.75,
2013-04-08,,,665.75,
2013-04-09,,,646.5,
2013-04-10,,529.0,,
2013-04-11,,444.75,,
2013-04-12,,505.0,,
2013-04-13,,499.0,,
2013-04-14,,386.25,,
2013-04-15,212.25,,,
2013-04-16,191.5,,,
2013-04-17,177.0,,,
2013-04-18,167.75,,,
2013-04-19,,462.75,,
2013-04-20,,,628.0,
2013-04-21,,549.25,,
2013-04-22,,396.75,,
2013-04-23,,379.5,,
2013-04-24,,312.75,,
2013-04-25,213.875,,,
2013-04-26,211.375,,,
2013-04-27,,396.12499999999994,,
2013-04-28,,454.875,,
2013-04-29,,359.8750000000001,,
2013-04-30,,381.375,,
2013-05-01,,318.4999999998836,,
2013-05-02,257.62500000049477,,,
2013-05-03,,362.875,,
2013-05-04,,351.75,,
2013-05-05,265.625,,,
2013-05-06,232.37500000000003,,,
2013-05-07,215.00000000010476,,,
2013-05-08,177.875,,,
2013-05-09,173.875,,,
2013-05-10,,369.9999999990833,,
2013-05-11,,358.8750000007858,,
2013-05-12,,372.75,,
2013-05-13,,289.25,,
2013-05-14,228.0,,,
2013-05-15,220.25,,,
2013-05-16,,284.375,,
2013-05-17,,345.24999999999994,,
2013-05-18,236.25,,,
2013-05-19,,293.24999999934516,,
2013-05-20,282.375,,,
2013-05-21,,386.25,,
2013-05-22,,416.875,,
2013-05-23,,454.375,,
2013-05-24,,553.7500000014552,,
2013-05-25,,507.625,,
2013-05-26,,487.75,,
2013-05-27,,294.375,,
2013-05-28,271.6500000002852,,,
2013-05-29,,417.875,,
2013-05-30,,395.75,,
2013-05-31,,442.00000000145513,,
2013-06-01,,392.125,,
2013-06-02,,309.87500000052387,,
2013-06-03,,339.6249999992142,,
2013-06-04,,300.74999999895226,,
2013-06-05,195.5,,,
2013-06-06,134.75,,,
2013-06-07,126.5,,,
2013-06-08,132.875,,,
2013-06-09,111.125,,,
2013-06-10,201.00000000090225,,,
