timestampstring,0,1,2,3
2013-01-01,,,,232.75
2013-01-02,,,,237.25
2013-01-03,,,,246.75
2013-01-04,,,,186.5
2013-01-05,,,,185.25
2013-01-06,,,,211.0
2013-01-07,,,,190.25
2013-01-08,,,,199.5
2013-01-09,,,,250.5
2013-01-10,,,,217.75
2013-01-11,,,,212.5
2013-01-12,,,,225.75
2013-01-13,,,,244.75
2013-01-14,,,,246.25
2013-01-15,,,,261.75
2013-01-16,,,,315.5
2013-01-17,,,,335.0
2013-01-18,,,,326.0
2013-01-19,,,,332.75
2013-01-20,,,,299.0
2013-01-21,,,218.5,
2013-01-22,,,219.75,
2013-01-23,,,,262.0
2013-01-24,,,,266.25
2013-01-25,,,,305.75
2013-01-26,,,,319.0
2013-01-27,,,,245.0
2013-01-28,,,,221.75
2013-01-29,,,,197.25
2013-01-30,,108.75,,
2013-01-31,,,137.0,
2013-02-01,,,149.5,
2013-02-02,,,,240.75
2013-02-03,,,,297.0
2013-02-04,,,216.25,
2013-02-05,,,,203.25
2013-02-06,,,250.75,
2013-02-07,,,,261.75
2013-02-08,,,248.0,
2013-02-09,,,296.75,
2013-02-10,,,,297.25
2013-02-11,,,275.0,
2013-02-12,,,308.5,
2013-02-13,,,317.5,
2013-02-14,,,312.75,
2013-02-15,,,251.5,
2013-02-16,,,242.75,
2013-02-17,,,,212.0
2013-02-18,,,188.0,
2013-02-19,,,228.75,
2013-02-20,,,259.5,
2013-02-21,,,325.0,
2013-02-22,,,,360.75
2013-02-23,,,,333.5
2013-02-24,,,,308.75
2013-02-25,,,297.5,
2013-02-26,,,298.0,
2013-02-27,,,244.25,
2013-02-28,,,232.0,
2013-03-01,,,261.5,
2013-03-02,,,284.0,
2013-03-03,,,,228.75
2013-03-04,,,253.25,
2013-03-05,,,194.5,
2013-03-06,,132.0,,
2013-03-07,,102.25,,
2013-03-08,,121.25,,
2013-03-09,,115.5,,
2013-03-10,50.75,,,
2013-03-11,,,154.25,
2013-03-12,,136.75,,
2013-03-13,,,,232.75
