,,,CategoryTag,TypeTag,EnglishTag,Adjusted_EnglishTag,BuildTag
,V,MBW,Durchfluss,Brauchwarmwasser Verbrauch,Domestic hot water consumption,Domestic hot water,HC0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,V,MBW,Durchfluss,Brauchwarmwasser Verbrauch,Domestic hot water consumption,Domestic hot water,HC1
,V,MBW,Durchfluss,Brauchwarmwasser Verbrauch,Domestic hot water consumption,Domestic hot water,HC2
,V,MBW,Durchfluss,Brauchwarmwasser Verbrauch,Domestic hot water consumption,Domestic hot water,HC3
,V,MBW,Durchfluss,Brauchwarmwasser Verbrauch,Domestic hot water consumption,Domestic hot water,HC4
,V,MBW,Durchfluss,Brauchwarmwasser Verbrauch,Domestic hot water consumption,Domestic hot water,HC5
,V,MBW,Durchfluss,Brauchwarmwasser Verbrauch,Domestic hot water consumption,Domestic hot water,HCI
,V,MBW,Durchfluss,Brauchwarmwasser Verbrauch,Domestic hot water consumption,Domestic hot water,HEZ
,V,MBW,Durchfluss,Brauchwarmwasser Verbrauch,Domestic hot water consumption,Domestic hot water,HEZ
,V,MBW,Durchfluss,Brauchwarmwasser Verbrauch,Domestic hot water consumption,Domestic hot water,HEZ
,V,MBW,Durchfluss,Brauchwarmwasser Verbrauch,Domestic hot water consumption,Domestic hot water,HIL
,V,MBW,Durchfluss,Brauchwarmwasser Verbrauch,Domestic hot water consumption,Domestic hot water,HPF
,V,MBW,Durchfluss,Brauchwarmwasser Verbrauch,Domestic hot water consumption,Domestic hot water,HPF
,V,MBW,Durchfluss,Brauchwarmwasser Verbrauch,Domestic hot water consumption,Domestic hot water,HPF
,V,MBW,Durchfluss,Brauchwarmwasser Verbrauch,Domestic hot water consumption,Domestic hot water,HPI
,V,MBW,Durchfluss,Brauchwarmwasser Verbrauch,Domestic hot water consumption,Domestic hot water,HPI
,V,MBW,Durchfluss,Brauchwarmwasser Verbrauch,Domestic hot water consumption,Domestic hot water,HPI
,V,MBW,Durchfluss,Brauchwarmwasser Verbrauch,Domestic hot water consumption,Domestic hot water,HPI
,V,MBW,Durchfluss,Brauchwarmwasser Verbrauch,Domestic hot water consumption,Domestic hot water,HPI
,V,MBW,Durchfluss,Brauchwarmwasser Verbrauch,Domestic hot water consumption,Domestic hot water,HPI
,V,MBW,Durchfluss,Brauchwarmwasser Verbrauch,Domestic hot water consumption,Domestic hot water,HPI
,V,MBW,Durchfluss,Brauchwarmwasser Verbrauch,Domestic hot water consumption,Domestic hot water,HPI
,V,MBW,Durchfluss,Brauchwarmwasser Verbrauch,Domestic hot water consumption,Domestic hot water,HPI
,V,MBW,Durchfluss,Brauchwarmwasser Verbrauch,Domestic hot water consumption,Domestic hot water,HPK
,V,MBW,Durchfluss,Brauchwarmwasser Verbrauch,Domestic hot water consumption,Domestic hot water,HPM
,V,MBW,Durchfluss,Brauchwarmwasser Verbrauch,Domestic hot water consumption,Domestic hot water,HPM
,V,MBW,Durchfluss,Brauchwarmwasser Verbrauch,Domestic hot water consumption,Domestic hot water,HPM
,V,MBW,Durchfluss,Brauchwarmwasser Verbrauch,Domestic hot water consumption,Domestic hot water,HPP
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,V,MBW,Durchfluss,Brauchwarmwasser Verbrauch,Domestic hot water consumption,Domestic hot water,HPR
,V,MBW,Durchfluss,Brauchwarmwasser Verbrauch,Domestic hot water consumption,Domestic hot water,HPT
,V,MBW,Durchfluss,Brauchwarmwasser Verbrauch,Domestic hot water consumption,Domestic hot water,HPT
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,V,MBW,Durchfluss,Brauchwarmwasser Verbrauch,Domestic hot water consumption,Domestic hot water,HPT
